chunk_id,doc_id,source,title,text
git_intro#0,git_intro,kb/git_intro.md,Введение в Git,Git — распределённая система контроля версий. Репозиторий хранит историю коммитов; каждый коммит — снимок проекта с сообщением и автором. Локальный репозиторий создаётся командой git init. Для клонирования с сервера используется git clone <url>. Ветка по умолчанию часто называется main или master.
commits_basics#0,commits_basics,kb/commits_basics.md,Коммиты и staging,"Перед коммитом изменения помещаются в индекс (staging): git add <файл> или git add . для всех файлов. Коммит создаётся командой git commit -m ""сообщение"". Хорошая практика — короткое повелительное сообщение на английском или русском, отражающее суть изменений. Просмотр статуса: git status."
branches_merge#0,branches_merge,kb/branches_merge.md,Ветки и слияние,"Ветка — независимая линия разработки. Создание: git branch <имя> или git checkout -b <имя>. Переключение: git checkout <имя> или git switch <имя>. Слияние в текущую ветку: git merge <другая_ветка>. При конфликтах Git помечает файлы; их нужно отредактировать вручную, затем git add и git commit."
remote_push_pull#0,remote_push_pull,kb/remote_push_pull.md,Удалённый репозиторий,"Удалённый репозиторий задаётся как remote, обычно origin. Отправка коммитов: git push origin <ветка>. Получение изменений: git pull (fetch + merge) или git fetch + git merge. Перед началом работы полезно делать git pull, чтобы синхронизироваться с сервером."
github_fork_pr#0,github_fork_pr,kb/github_fork_pr.md,GitHub: fork и Pull Request,"На GitHub fork создаёт копию репозитория в вашем аккаунте. Изменения вносятся в ветку форка, затем открывается Pull Request (PR) в исходный репозиторий. Ревьюеры проверяют код; после одобрения PR мержится. Для курсовых заданий часто требуется PR из личного форка в шаблонный репозиторий."
ignore_gitignore#0,ignore_gitignore,kb/ignore_gitignore.md,Файл .gitignore,"Файл .gitignore перечисляет шаблоны файлов и папок, которые Git не должен отслеживать: виртуальные окружения venv/, кеши __pycache__/, секреты .env, большие датасеты. Правила по одному на строку; можно использовать * и **. После добавления правил уже отслеживаемые файлы нужно убрать из индекса отдел"
ignore_gitignore#1,ignore_gitignore,kb/ignore_gitignore.md,Файл .gitignore,отслеживаемые файлы нужно убрать из индекса отдельно (git rm --cached).
rebase_vs_merge#0,rebase_vs_merge,kb/rebase_vs_merge.md,Rebase и merge,"git merge сохраняет историю с merge-коммитом. git rebase переносит коммиты текущей ветки поверх другой, выстраивая линейную историю. Rebase переписывает хеши коммитов; не ребейзить уже запушенные в общую ветку коммиты без согласования. В учебных проектах чаще достаточно merge."
conflict_resolution#0,conflict_resolution,kb/conflict_resolution.md,Разрешение конфликтов,"Конфликт возникает, когда одни и те же строки изменены в двух ветках. В файле появляются маркеры <<<<<<<, =======, >>>>>>>. Нужно оставить нужный код, удалить маркеры, выполнить git add и завершить merge коммитом. В VS Code и других IDE есть визуальные инструменты слияния."
tags_releases#0,tags_releases,kb/tags_releases.md,Теги и релизы,"Лёгкий тег: git tag v1.0. Аннотированный тег хранит автора и сообщение: git tag -a v1.0 -m ""релиз"". Отправка тегов на сервер: git push origin --tags. На GitHub теги можно связать с GitHub Releases для распространения архивов и заметок к версии."
submodule_brief#0,submodule_brief,kb/submodule_brief.md,Подмодули Git,git submodule add и git submodule update --init — базовые команды подмодуля. В курсе тема краткая.
course_submit_hw#0,course_submit_hw,kb/course_submit_hw.md,Сдача домашних заданий,"Домашние задания оформляются в папке homeworks/HWxx/ согласно заданию. Нужен чистый sequential run ноутбука без ошибок. Перед пушем проверяйте, что не попали секреты и большие бинарные файлы. Ветка с работой мержится через Pull Request; в описании указывайте номер задания и ФИО."
course_notebook_rules#0,course_notebook_rules,kb/course_notebook_rules.md,Правила оформления ноутбуков,"Ноутбук должен читаться сверху вниз: markdown с постановкой задачи, затем код с выводами. Фиксируйте seed для воспроизводимости. Графики подписывайте осями и легендой. Артефакты (csv, png) складывайте в указанную папку artifacts/ и ссылайтесь на них в отчёте report.md."
venv_conda#0,venv_conda,kb/venv_conda.md,Виртуальные окружения Python,"Изоляция зависимостей: python -m venv .venv и активация (.venv\Scripts\activate на Windows). Альтернатива — conda/mamba окружения. В репозиторий коммитьте requirements.txt или environment.yml, но не само окружение целиком. Версии библиотек лучше фиксировать для совпадения с проверяющей средой."
pytest_basics#0,pytest_basics,kb/pytest_basics.md,Тесты pytest,"pytest запускает тесты из файлов test_*.py. Утверждения через assert. Фикстуры @pytest.fixture переиспользуют подготовку данных. Запуск: pytest -q. В CI тесты должны проходить без ручных шагов. Покрытие можно измерять pytest-cov, но для учебных проектов достаточно базовых тестов."
